,Accuracy,Sensitivity,Specificity,F1,G-mean,AUC,Balanced Accuracy
0,0.3466666667,1.0,0.2740740741,0.2343767847,0.5235148484000001,0.8333333333,0.637037037
1,0.1433333333,0.9333333333,0.0555555556,0.178921996,0.2271644019,1.0,0.4944444444
2,0.3455555556,0.8444444444,0.2901234568,0.20517843730000002,0.4949645958,0.8333333333,0.5672839506
3,0.095,0.8944444444,0.0061728395,0.1650354991,0.0736375905,0.6666666667000001,0.45030864200000004
4,0.2588888889,0.7444444444,0.2049382716,0.1672344175,0.3903107314,0.1666666667,0.474691358
5,0.16,0.6888888889,0.1012345679,0.14089226570000002,0.263808086,0.6666666667000001,0.39506172840000003
6,0.1327777778,0.6888888889,0.07098765430000001,0.1370460132,0.2205536013,0.6666666667000001,0.3799382716
7,0.4,1.0,0.33333333330000003,0.2500196556,0.5773104993,1.0,0.6666666667000001
8,0.23,0.8944444444,0.1561728395,0.1885302007,0.3737460125,0.8333333333,0.525308642
9,0.3405555556,0.9888888889,0.2685185185,0.230721942,0.5152110049,0.8333333333,0.6287037037000001
10,0.24944444440000002,0.9611111111,0.1703703704,0.20391422920000002,0.404157509,1.0,0.5657407407
11,0.3455555556,0.8444444444,0.2901234568,0.20517843730000002,0.4949645958,0.8333333333,0.5672839506
12,0.0983333333,0.7388888889,0.0271604938,0.1408210051,0.1412843369,0.6666666667000001,0.3830246914
13,0.16555555560000002,0.8444444444,0.0901234568,0.16832779620000002,0.2758699868,0.8333333333,0.4672839506
14,0.1783333333,0.6944444444,0.12098765430000001,0.1446336586,0.28968373540000003,0.5,0.4077160494
15,0.1327777778,0.6888888889,0.07098765430000001,0.1370460132,0.2205536013,0.6666666667000001,0.3799382716
16,0.38444444440000003,1.0,0.3160493827,0.2452462541,0.5621486426,0.8333333333,0.6580246914
17,0.21777777780000002,0.9888888889,0.1320987654,0.2018045984,0.3609712691,1.0,0.5604938272000001
18,0.35777777780000003,1.0,0.2864197531,0.23747709820000001,0.535151294,0.8333333333,0.6432098765
19,0.1444444444,0.9055555556,0.0598765432,0.17469632100000002,0.2311301269,1.0,0.4827160494
20,0.35388888890000003,0.8722222222,0.2962962963,0.2126281499,0.5083615522,0.8333333333,0.5842592593
21,0.09444444440000001,0.8944444444,0.0055555556,0.16494357340000002,0.0704810778,0.6666666667000001,0.45
22,0.17111111110000002,0.8444444444,0.0962962963,0.16926174500000002,0.2851139338,0.8333333333,0.4703703704
23,0.1566666667,0.6888888889,0.0975308642,0.1404167536,0.2590595,0.6666666667000001,0.3932098765
24,0.1327777778,0.6888888889,0.07098765430000001,0.1370460132,0.2205536013,0.6666666667000001,0.3799382716
25,0.3633333333,0.9722222222,0.2956790123,0.2339962643,0.5361189445,1.0,0.6339506173
26,0.23,0.8944444444,0.1561728395,0.1885302007,0.3737460125,0.8333333333,0.525308642
27,0.3533333333,1.0,0.2814814815,0.23622047240000002,0.5305482838,0.8333333333,0.6407407407
28,0.1505555556,0.9055555556,0.0666666667,0.1757355372,0.2438490091,1.0,0.4861111111
29,0.3011111111,0.8388888889,0.2413580247,0.19340239310000001,0.4492645511,0.8333333333,0.5401234568000001
30,0.09388888890000001,0.7388888889,0.022222222200000002,0.14023534140000002,0.1264074008,0.6666666667000001,0.38055555560000004
31,0.2533333333,0.75,0.1981481481,0.16724918190000002,0.38525825810000003,0.1666666667,0.4740740741
32,0.19222222220000001,0.6888888889,0.137037037,0.1457223909,0.3072491426,0.5,0.412962963
33,0.0777777778,0.7222222222,0.0061728395,0.13540432630000002,0.0666937116,0.6666666667000001,0.3641975309
34,0.4016666667,0.9833333333000001,0.33703703700000004,0.24738818980000002,0.5756733885,1.0,0.6601851852
35,0.1372222222,0.9111111111,0.0512345679,0.1743728238,0.2160076173,0.8333333333,0.4811728395
36,0.3005555556,1.0,0.2228395062,0.2223596509,0.4720578909,0.8333333333,0.6114197531000001
37,0.1461111111,0.9277777778,0.0592592593,0.1784716828,0.2336885495,1.0,0.4935185185
38,0.3038888889,0.8166666667,0.2469135802,0.1898138627,0.4481983283,0.6666666667000001,0.5317901235
39,0.0972222222,0.7388888889,0.0259259259,0.1406738942,0.1378092595,0.6666666667000001,0.3824074074
40,0.1911111111,0.8444444444,0.1185185185,0.1727238841,0.3163190523,0.8333333333,0.48148148150000003
41,0.18,0.65,0.1277777778,0.1368429491,0.28817858150000003,0.1666666667,0.3888888889
42,0.1227777778,0.6888888889,0.0598765432,0.1356961392,0.2024083771,0.6666666667000001,0.374382716
43,0.4066666667,0.9888888889,0.3419753086,0.2500260196,0.5815174546,1.0,0.6654320988
44,0.1961111111,0.8611111111,0.12222222220000001,0.1764025781,0.3243423384,0.8333333333,0.49166666670000003
45,0.6811111111,0.8466666667,0.648,0.46970341130000004,0.7406776562,0.5,0.7473333333000001
46,0.1794444444,0.7366666667,0.068,0.23034306540000002,0.2225996546,0.6666666667000001,0.40233333330000004
47,0.7816666667000001,0.6900000000000001,0.8,0.5125448029,0.7425382583,0.1666666667,0.745
48,0.315,0.7266666667,0.2326666667,0.2612615199,0.4107160647,1.0,0.4796666667
49,0.33222222220000003,0.58,0.2826666667,0.2245282463,0.40426298520000004,0.6666666667000001,0.4313333333
50,0.31555555560000004,0.8966666667000001,0.1993333333,0.3039464944,0.42272535580000004,1.0,0.548
51,0.4822222222,0.9533333333,0.388,0.3804603495,0.6080997042,0.6666666667000001,0.6706666667
52,0.2344444444,0.75,0.1313333333,0.24618564850000002,0.31383230770000003,0.6666666667000001,0.44066666670000004
53,0.1083333333,0.4233333333,0.0453333333,0.1366407838,0.138405537,1.0,0.2343333333
54,0.7027777778000001,0.8266666667,0.678,0.4814694109,0.7486516526,0.5,0.7523333333000001
55,0.1522222222,0.6233333333000001,0.058,0.1968676387,0.1893509959,0.5,0.3406666667
56,0.7833333333,0.71,0.798,0.5218550664,0.7520497956000001,0.1666666667,0.754
57,0.3438888889,0.67,0.2786666667,0.2537008264,0.43101207490000004,1.0,0.4743333333
58,0.4561111111,0.4833333333,0.4506666667,0.22852639870000002,0.4665509672,0.5,0.467
59,0.30166666670000003,0.8733333333000001,0.18733333330000002,0.2941903423,0.4039409691,0.8333333333,0.5303333333
60,0.4783333333,0.9333333333,0.3873333333,0.3738363986,0.6010590694,0.6666666667000001,0.6603333333
61,0.23,0.72,0.132,0.2375924315,0.3082759509,1.0,0.426
62,0.1055555556,0.43,0.0406666667,0.13813068650000002,0.1319756061,1.0,0.2353333333
63,0.7527777778,0.7966666667000001,0.744,0.5182143543000001,0.7698336642,0.5,0.7703333333
64,0.1672222222,0.58,0.0846666667,0.1884539432,0.2204306305,0.33333333330000003,0.33233333330000003
65,0.5966666667,0.8933333333000001,0.5373333333,0.42458258800000004,0.6926250755000001,1.0,0.7153333333
66,0.3533333333,0.64,0.296,0.2479445072,0.4345693935,0.6666666667000001,0.468
67,0.4516666667,0.4466666667,0.4526666667,0.21363529790000002,0.4496546892,0.6666666667000001,0.4496666667
68,0.2838888889,0.8366666667,0.1733333333,0.2803306219,0.3799650292,0.6666666667000001,0.505
69,0.4905555556,0.9533333333,0.398,0.3842550109,0.6159247012,0.6666666667000001,0.6756666667
70,0.2583333333,0.75,0.16,0.2521249024,0.34640029380000004,0.6666666667000001,0.455
71,0.1116666667,0.4133333333,0.0513333333,0.1342800831,0.1455864084,1.0,0.2323333333
72,0.6866666667,0.8300000000000001,0.658,0.4691111181,0.7389698497,0.5,0.744
73,0.1427777778,0.78,0.0153333333,0.23273404320000002,0.1036526422,0.6666666667000001,0.3976666667
74,0.6133333333000001,0.9166666667000001,0.5526666667,0.4413505515,0.7116912968,1.0,0.7346666667
75,0.1288888889,0.43,0.0686666667,0.1412560852,0.17066482500000002,1.0,0.24933333330000002
76,0.47611111110000004,0.4433333333,0.4826666667,0.2199429503,0.46242569780000004,0.33333333330000003,0.463
77,0.3161111111,0.87,0.2053333333,0.2977710544,0.4222234624,1.0,0.5376666667000001
78,0.465,0.9433333333,0.3693333333,0.3704192753,0.5900380980000001,0.6666666667000001,0.6563333333
79,0.2522222222,0.6233333333000001,0.178,0.2172684594,0.3322849633,1.0,0.4006666667
80,0.1333333333,0.42,0.076,0.1390321735,0.1785626166,1.0,0.248
81,0.7033333333,0.8166666667,0.6806666667,0.4788059163,0.7455423536,0.5,0.7486666667
82,0.12388888890000001,0.68,0.0126666667,0.2055432344,0.0918529195,0.5,0.3463333333
83,0.64,0.87,0.594,0.4460496437,0.7187504587,1.0,0.732
84,0.3855555556,0.87,0.2886666667,0.3204521134,0.5004550437,1.0,0.5793333333
85,0.3238888889,0.58,0.2726666667,0.2223391707,0.39732820300000005,0.6666666667000001,0.4263333333
86,0.3394444444,0.8266666667,0.242,0.2943047395,0.44684558700000004,0.33333333330000003,0.5343333333
87,0.4577777778,0.91,0.3673333333,0.3587501167,0.5781632353,1.0,0.6386666667
88,0.2327777778,0.7266666667,0.134,0.2399971586,0.3120074412,0.6666666667000001,0.4303333333
89,0.1466666667,0.4166666667,0.0926666667,0.1399539805,0.1964453866,1.0,0.2546666667
90,0.6288888889,0.9952380952000001,0.5173913043,0.5558969107,0.717565941,0.5,0.7563146998
91,0.2244444444,0.6857142857,0.08405797100000001,0.29207754620000004,0.2400370362,0.8333333333,0.3848861284
92,0.3622222222,0.2880952381,0.38478260870000003,0.17400856550000002,0.3326761626,0.6666666667000001,0.33643892340000003
93,0.2883333333,0.6880952381000001,0.1666666667,0.31083071970000004,0.3380860614,1.0,0.4273809524
94,0.445,0.5333333333,0.418115942,0.30959196180000004,0.47219892360000004,0.5,0.4757246377
95,0.4372222222,0.7761904762,0.334057971,0.3915473317,0.5090326725000001,1.0,0.5551242236
96,0.4983333333,0.7714285714,0.4152173913,0.4179634271,0.5659356948,0.6666666667000001,0.5933229814000001
97,0.3783333333,0.9880952381,0.1927536232,0.4258575323,0.43641589080000004,1.0,0.5904244306
98,0.4294444444,0.8857142857,0.2905797101,0.4202381624,0.5065204897,1.0,0.5881469979
99,0.6205555556,0.9952380952000001,0.5065217391,0.550480968,0.7099430611,0.5,0.7508799172
100,0.22333333330000002,0.6857142857,0.0826086957,0.291794663,0.23796343390000002,0.8333333333,0.3841614907
101,0.3622222222,0.2142857143,0.40724637680000003,0.1355156061,0.2951566384,0.6666666667000001,0.31076604550000003
102,0.2922222222,0.6404761905,0.1862318841,0.29686187140000003,0.3447869067,1.0,0.41335403730000003
103,0.455,0.5238095238,0.43405797100000004,0.30963744,0.47682009550000004,0.5,0.4789337474
104,0.3738888889,0.8642857143,0.2246376812,0.39176999430000004,0.43988263180000003,1.0,0.5444616977
105,0.47222222220000004,0.7452380952000001,0.38913043480000004,0.39729199940000004,0.5383272736,0.5,0.5671842650000001
106,0.4438888889,0.6976190476,0.36666666670000003,0.3692798852,0.5057503733000001,0.8333333333,0.5321428571
107,0.4255555556,0.8809523810000001,0.2869565217,0.4173060673,0.5021321462,1.0,0.5839544513
108,0.6288888889,0.9952380952000001,0.5173913043,0.5558969107,0.717565941,0.5,0.7563146998
109,0.2255555556,0.65,0.0963768116,0.2814730546,0.2500414007,0.8333333333,0.3731884058
110,0.3605555556,0.2071428571,0.40724637680000003,0.1313077024,0.2903684543,0.6666666667000001,0.307194617
111,0.2955555556,0.7214285714,0.16594202900000002,0.3233101013,0.34541913080000003,1.0,0.4436853002
112,0.4372222222,0.5,0.418115942,0.29312569780000003,0.45718662200000004,0.5,0.459057971
113,0.42277777780000003,0.7880952381,0.3115942029,0.38913543700000003,0.4948434471,1.0,0.5498447205
114,0.5205555556,0.7404761905,0.45362318840000004,0.41904761900000004,0.5795210184,0.6666666667000001,0.5970496894
115,0.395,0.9857142857000001,0.2152173913,0.4319269949,0.46057787510000003,1.0,0.6004658385
116,0.41888888890000003,0.8928571429000001,0.2746376812,0.417683994,0.4938901288,1.0,0.583747412
117,0.6311111111000001,0.9928571429,0.5210144928,0.556840514,0.7191632797,0.5,0.7569358178000001
118,0.2222222222,0.6761904762000001,0.08405797100000001,0.28862701080000003,0.2378553391,0.8333333333,0.38012422360000003
119,0.3522222222,0.19761904760000001,0.3992753623,0.12462462460000001,0.28087027330000003,0.6666666667000001,0.298447205
120,0.2966666667,0.7404761905,0.1615942029,0.32940966650000003,0.34536228690000004,1.0,0.45103519670000003
121,0.28,0.9976190476000001,0.0615942029,0.3927043361,0.2473344916,0.8333333333,0.5296066253
122,0.4388888889,0.7952380952,0.33043478260000003,0.3980871449,0.5123542732,1.0,0.5628364389
123,0.465,0.7714285714,0.3717391304,0.4023339817,0.5353413646,0.6666666667000001,0.5715838509
124,0.3961111111,0.9785714286,0.2188405797,0.4306034702,0.4627017604,1.0,0.5987060041
125,0.4272222222,0.8928571429000001,0.2855072464,0.42111555570000003,0.5041784265,1.0,0.5891821946
126,0.6038888889,1.0,0.4833333333,0.5409337505,0.6951830048000001,0.5,0.7416666667
127,0.2411111111,0.4880952381,0.16594202900000002,0.23085585590000002,0.284596224,0.6666666667000001,0.3270186335
128,0.2338888889,0.6476190476,0.1079710145,0.28261930700000004,0.2634919846,0.6666666667000001,0.3777950311
129,0.26,0.830952381,0.0862318841,0.3437751108,0.2659673617,1.0,0.4585921325
130,0.2927777778,0.9976190476000001,0.0782608696,0.3969771825,0.2792143663,0.8333333333,0.5379399586
131,0.4588888889,0.7238095238000001,0.3782608696,0.3842429787,0.5231409297,1.0,0.5510351967
132,0.47000000000000003,0.7761904762,0.3768115942,0.4062064493,0.5406695663000001,0.6666666667000001,0.5765010352000001
133,0.3277777778,0.719047619,0.2086956522,0.3328636023,0.3861711921,0.8333333333,0.4638716356
134,0.43,0.8904761905,0.28985507250000003,0.4217054961,0.5072414655,1.0,0.5901656315
135,0.5238888889000001,0.9,0.4820987654,0.2743500923,0.6586981195,1.0,0.6910493827
136,0.21833333330000002,0.8,0.1537037037,0.1698907747,0.35056636090000004,1.0,0.4768518519
137,0.3127777778,0.7333333333000001,0.2660493827,0.1762408727,0.44162169440000004,1.0,0.49969135800000003
138,0.4422222222,0.8388888889,0.3981481481,0.2314367732,0.5779250650000001,0.6666666667000001,0.6185185185000001
139,0.1766666667,0.8722222222,0.09938271600000001,0.17487311760000002,0.2940620157,1.0,0.4858024691
140,0.26444444440000003,0.7833333333,0.2067901235,0.17571126880000001,0.4023310779,1.0,0.4950617284
141,0.2238888889,0.9277777778,0.1456790123,0.1929407069,0.36756096720000003,1.0,0.5367283951
142,0.1855555556,0.8944444444,0.1067901235,0.1801212944,0.30886413100000004,1.0,0.500617284
143,0.37,0.7777777778,0.32469135800000004,0.1981189429,0.5025308205,1.0,0.5512345679
144,0.5161111111,0.9,0.4734567901,0.2711357626,0.6527674175,1.0,0.6867283951
145,0.2094444444,0.8055555556,0.1432098765,0.1693273448,0.3395528178,1.0,0.47438271600000004
146,0.30555555560000003,0.7444444444,0.2567901235,0.1765328354,0.4371596568,1.0,0.500617284
147,0.45833333330000003,0.7944444444000001,0.4209876543,0.22698135200000003,0.5783162698000001,0.1666666667,0.6077160494
148,0.19222222220000001,0.8888888889000001,0.1148148148,0.18043535870000002,0.3190733814,1.0,0.5018518519
149,0.2877777778,0.8333333333,0.2271604938,0.1896776571,0.43485946880000004,1.0,0.5302469136
150,0.2816666667,0.8222222222000001,0.2216049383,0.1863761858,0.4266869817,0.8333333333,0.5219135802
151,0.1894444444,0.8888888889000001,0.1117283951,0.1799080874,0.3148142178,1.0,0.500308642
152,0.385,0.7722222222,0.3419753086,0.2009569378,0.5138861815,1.0,0.5570987654
153,0.5122222222,0.9333333333,0.4654320988,0.2769048253,0.6590926949,1.0,0.699382716
154,0.21833333330000002,0.8,0.1537037037,0.1698907747,0.35056636090000004,1.0,0.4768518519
155,0.3127777778,0.7333333333000001,0.2660493827,0.1762408727,0.44162169440000004,1.0,0.49969135800000003
156,0.43555555560000003,0.8555555556000001,0.3888888889,0.23307145910000002,0.576780835,0.6666666667000001,0.6222222222
157,0.22722222220000002,0.8444444444,0.15864197530000002,0.1794343232,0.3654088145,1.0,0.5015432099
158,0.24388888890000002,0.8388888889,0.1777777778,0.1816627203,0.38588885170000004,1.0,0.5083333333
159,0.2788888889,0.7722222222,0.22407407410000002,0.1765071043,0.4157702898,0.8333333333,0.4981481481
160,0.1722222222,0.9555555556,0.0851851852,0.18757691540000002,0.285206519,1.0,0.5203703704
161,0.3994444444,0.7055555556,0.3654320988,0.1903796825,0.507739775,1.0,0.5354938272
162,0.4611111111,0.9555555556,0.4061728395,0.2619753086,0.6229372614,1.0,0.6808641975
163,0.2122222222,0.8388888889,0.1425925926,0.1755882705,0.3458557434,1.0,0.4907407407
164,0.3555555556,0.6388888889000001,0.3240740741,0.1658837078,0.45497913840000004,1.0,0.48148148150000003
165,0.4505555556,0.8222222222000001,0.4092592593,0.23049808430000002,0.5800693592,0.33333333330000003,0.6157407407000001
166,0.1294444444,0.8444444444,0.05,0.1624949758,0.2048780229,1.0,0.4472222222
167,0.23555555560000002,0.8,0.1728395062,0.1731440074,0.3718468741,1.0,0.4864197531
168,0.2038888889,0.8666666667,0.1302469136,0.1786915474,0.335725094,0.8333333333,0.4984567901
169,0.22333333330000002,0.9444444444000001,0.1432098765,0.1957583739,0.3669626332,1.0,0.5438271605
170,0.1677777778,0.8944444444,0.08703703700000001,0.1768943878,0.27886705500000003,1.0,0.4907407407
171,0.5222222222,0.9111111111,0.4790123457,0.2761005077,0.6605867482000001,1.0,0.6950617284
172,0.2794444444,0.6555555556,0.237654321,0.1541307988,0.39435514190000004,0.6666666667000001,0.44660493830000003
173,0.3388888889,0.7111111111,0.2975308642,0.177030177,0.4599397585,1.0,0.5043209877
174,0.46611111110000003,0.7722222222,0.43209876540000003,0.22457106240000002,0.5776268128000001,0.33333333330000003,0.6021604938
175,0.30277777780000004,0.75,0.2530864198,0.1772003477,0.4355651767,1.0,0.5015432099
176,0.2833333333,0.7666666667,0.2296296296,0.17625692140000002,0.41952170250000004,1.0,0.4981481481
177,0.1961111111,0.9722222222,0.10987654320000001,0.1947738693,0.3268174113,1.0,0.5410493827
178,0.15444444440000002,0.9277777778,0.0685185185,0.1799594769,0.2513446535,1.0,0.4981481481
179,0.38444444440000003,0.7000000000000001,0.34938271600000004,0.1853784219,0.4945379788,1.0,0.524691358
180,0.4616666667,0.9166666667000001,0.37066666670000004,0.3620882167,0.5827972266,0.8333333333,0.6436666667000001
181,0.2388888889,0.7033333333,0.146,0.2354273358,0.3193364329,0.6666666667000001,0.42466666670000003
182,0.4638888889,0.7766666667000001,0.40133333330000004,0.3256222147,0.5580166714,0.8333333333,0.589
183,0.4066666667,0.78,0.332,0.3047050492,0.5088810487000001,1.0,0.556
184,0.1927777778,0.9,0.0513333333,0.2708900528,0.2141159154,1.0,0.4756666667
185,0.31166666670000004,0.6933333333,0.2353333333,0.2512864173,0.4038051486,0.5,0.46433333330000004
186,0.2172222222,0.8933333333000001,0.082,0.27558238160000004,0.27023740690000003,1.0,0.48766666670000003
187,0.17055555560000002,0.9433333333,0.016,0.27489273940000003,0.1223916126,1.0,0.4796666667
188,0.3033333333,0.8433333333,0.1953333333,0.287381149,0.40568686800000003,0.5,0.5193333333
189,0.4616666667,0.9466666667,0.36466666670000003,0.3695427365,0.5875138508000001,0.8333333333,0.6556666667000001
190,0.2388888889,0.7033333333,0.146,0.2354273358,0.3193364329,0.6666666667000001,0.42466666670000003
191,0.4566666667,0.7933333333,0.38933333330000003,0.3273853229,0.5557591149000001,0.8333333333,0.5913333333
192,0.4077777778,0.7633333333000001,0.3366666667,0.30053757200000003,0.5069405410000001,1.0,0.55
193,0.1927777778,0.8866666667,0.054,0.267940222,0.2182750031,1.0,0.4703333333
194,0.34111111110000003,0.77,0.2553333333,0.280248278,0.4430721608,0.8333333333,0.5126666667
195,0.2372222222,0.8200000000000001,0.12066666670000001,0.2638364836,0.3140663059,1.0,0.4703333333
196,0.25055555560000004,0.7566666667,0.1493333333,0.2518835119,0.3349833884,1.0,0.453
197,0.2933333333,0.8333333333,0.1853333333,0.2819105507,0.3924158893,0.5,0.5093333333
198,0.48388888890000004,0.9266666667000001,0.39533333330000003,0.37440127040000004,0.6052327134000001,0.8333333333,0.661
199,0.2516666667,0.74,0.154,0.2478143981,0.33667028120000003,1.0,0.447
200,0.4744444444,0.7666666667,0.41600000000000004,0.3271736555,0.5647397088,0.8333333333,0.5913333333
201,0.40222222220000003,0.77,0.3286666667,0.3006506371,0.5030561414,1.0,0.5493333333
202,0.1938888889,0.9233333333,0.048,0.2762780988,0.2103374894,1.0,0.4856666667
203,0.3061111111,0.6900000000000001,0.2293333333,0.2488869159,0.3976899886,0.5,0.4596666667
