,Accuracy,Sensitivity,Specificity,F1,G-mean
246,0.5261111111,0.1904761905,0.6282608696,0.1582561605,0.3457865282
247,0.7761111111,0.1857142857,0.9557971014000001,0.2777728478,0.4197132839
248,0.585,0.2976190476,0.6724637681,0.2507954298,0.4473138694
249,0.5611111111,0.3285714286,0.631884058,0.2589228253,0.4556183589
250,0.5266666667000001,0.2380952381,0.6144927536,0.18991640540000002,0.38077207550000003
251,0.7355555556000001,0.2452380952,0.8847826087,0.3017887453,0.46550314610000004
252,0.9183333333,0.7523809524,0.9688405797,0.8114284591,0.8537779335000001
253,0.5111111111000001,0.3476190476,0.5608695652,0.2491540206,0.4415518968
254,0.59,0.1166666667,0.734057971,0.1171429565,0.29246659340000003
255,0.5255555556,0.2476190476,0.6101449275,0.19597645800000002,0.3885787929
256,0.7472222222,0.22619047620000002,0.9057971014,0.294042705,0.45138238500000005
257,0.5872222222,0.2214285714,0.6985507246,0.2002948417,0.3932748619
258,0.5444444444000001,0.33809523810000003,0.6072463768,0.2572220572,0.4530677984
259,0.5361111111,0.230952381,0.6289855072,0.1882262409,0.3792195144
260,0.7055555556,0.34523809520000004,0.8152173913,0.3527651597,0.5281544698
261,0.9105555556,0.7333333333000001,0.9644927536000001,0.7930444389,0.8410017702
262,0.495,0.33809523810000003,0.5427536232,0.2381212635,0.4283717607
263,0.5733333333,0.18095238100000002,0.6927536232,0.1650625771,0.3533669592
264,0.5527777778,0.21190476190000002,0.6565217391,0.18086497440000002,0.37258895880000004
265,0.7722222222,0.2357142857,0.9355072464,0.32562714400000004,0.4694888025
266,0.5883333333,0.3261904762,0.668115942,0.26985930210000003,0.4667000315
267,0.5561111111,0.4261904762,0.5956521739,0.3093469714,0.5037349142
268,0.5416666667,0.2833333333,0.6202898551,0.22455201360000002,0.4185146118
269,0.6633333333,0.2976190476,0.7746376812,0.2919170032,0.4790248191
270,0.9477777778,0.5777777778000001,0.9888888889,0.688627451,0.755813045
271,0.8161111111,0.15,0.8901234568,0.1414141414,0.364508534
272,0.8033333333,0.022222222200000002,0.8901234568,0.0242424242,0.0823189288
273,0.7722222222,0.09444444440000001,0.8475308642,0.0758946616,0.2781190428
274,0.6894444444000001,0.1666666667,0.7475308642,0.09717188610000001,0.35217923500000003
275,0.8394444444,0.061111111100000004,0.9259259259,0.07115390440000001,0.2374211094
276,0.7644444444,0.1611111111,0.8314814815,0.1201646091,0.36352456590000004
277,0.8133333333,0.1833333333,0.8833333333000001,0.16366332120000002,0.4014663432
278,0.8061111111,0.12222222220000001,0.8820987654,0.1107733874,0.3255830326
279,0.9450000000000001,0.5722222222000001,0.9864197531000001,0.6753821013,0.7512797719000001
280,0.8161111111,0.15,0.8901234568,0.1414141414,0.364508534
281,0.7983333333,0.0277777778,0.8839506173,0.029498525100000002,0.09184886490000001
282,0.7677777778,0.1,0.8419753086,0.0788709008,0.2878243239
283,0.6844444444000001,0.1666666667,0.7419753086,0.09588876900000001,0.3509103199
284,0.8316666667,0.0722222222,0.9160493827,0.0796966003,0.2556704677
285,0.7644444444,0.1611111111,0.8314814815,0.1201646091,0.36352456590000004
286,0.8122222222000001,0.1833333333,0.8820987654,0.162817029,0.4011718476
287,0.8061111111,0.1333333333,0.8808641975,0.1201979905,0.3412847485
288,0.9433333333,0.5777777778000001,0.9839506173,0.6711915535,0.7539404208
289,0.8161111111,0.15,0.8901234568,0.1414141414,0.364508534
290,0.8077777778,0.033333333300000004,0.8938271605,0.0363636364,0.1010235681
291,0.7683333333,0.1277777778,0.8395061728000001,0.0989981321,0.3247172165
292,0.6783333333,0.1888888889,0.7327160494,0.10535000500000001,0.3700499322
293,0.8322222222000001,0.061111111100000004,0.9179012346000001,0.06833751040000001,0.23639753260000002
294,0.7638888889000001,0.1722222222,0.8296296296000001,0.1272438082,0.3765547033
295,0.8172222222000001,0.1944444444,0.8864197531,0.1743843525,0.41351585090000004
296,0.8033333333,0.12222222220000001,0.8790123457000001,0.1091541639,0.3249052007
297,0.9272222222000001,0.5555555556,0.9685185185,0.6038266894000001,0.7332417511
298,0.8116666667,0.1722222222,0.8827160494,0.1552850242,0.3898534406
299,0.8655555556000001,0.0055555556,0.9611111111,0.0081300813,0.0421880954
300,0.7744444444,0.1444444444,0.8444444444,0.1119367775,0.3411698132
301,0.6866666667,0.1888888889,0.7419753086,0.10787572570000001,0.3741431552
302,0.8238888889,0.061111111100000004,0.9086419753,0.06529157120000001,0.2352028905
303,0.7588888889000001,0.1888888889,0.8222222222000001,0.1350342547,0.3902967396
304,0.7911111111,0.2055555556,0.8561728395,0.16346564230000002,0.417277351
305,0.7922222222,0.12222222220000001,0.8666666667,0.1040100251,0.3226323372
306,0.9461111111,0.5055555556,0.9950617284000001,0.6523297491000001,0.709189336
307,0.8027777778,0.2222222222,0.8672839506000001,0.184691358,0.43898999860000004
308,0.7794444444,0.05,0.8604938272,0.0442246353,0.2024919432
309,0.7538888889,0.1388888889,0.8222222222000001,0.1012746639,0.3373337986
310,0.66,0.2222222222,0.7086419753000001,0.11627335300000001,0.3955592013
311,0.8105555556,0.0666666667,0.8932098765,0.0657777778,0.24402247640000002
312,0.7522222222,0.1777777778,0.8160493827,0.1257309942,0.37886978200000004
313,0.7777777778,0.2277777778,0.8388888889,0.1700981945,0.4370211811
314,0.7922222222,0.1777777778,0.8604938272,0.1458716722,0.39068796110000004
315,0.9461111111,0.7166666667,0.992,0.8149277757000001,0.8426296864
316,0.7261111111,0.1566666667,0.84,0.158331239,0.3599101507
317,0.74,0.2066666667,0.8466666667,0.2102470106,0.4178385277
318,0.6844444444000001,0.2366666667,0.774,0.1997160952,0.4275439535
319,0.5977777778000001,0.2333333333,0.6706666667,0.16226755380000002,0.3953994196
320,0.6933333333,0.1233333333,0.8073333333,0.11817518910000001,0.31547715400000004
321,0.6833333333,0.2766666667,0.7646666667,0.2254799073,0.4598439995
322,0.6655555556,0.31,0.7366666667,0.23615930300000001,0.4769184985
323,0.7061111111,0.10666666670000001,0.8260000000000001,0.1083592401,0.29533222810000004
324,0.9372222222000001,0.7066666667,0.9833333333000001,0.7885510568,0.8330375293000001
325,0.7244444444,0.1566666667,0.838,0.1575302093,0.359479806
326,0.7377777778,0.2066666667,0.844,0.20874587460000002,0.41716955800000005
327,0.6900000000000001,0.2366666667,0.7806666667000001,0.2013653609,0.42714170230000004
328,0.5938888889,0.24,0.6646666667000001,0.1648521313,0.3993357447
329,0.6877777778,0.13,0.7993333333,0.1218844631,0.32235501250000004
330,0.6844444444000001,0.2766666667,0.766,0.2260971701,0.46023851450000003
331,0.6516666667000001,0.26,0.73,0.1992569389,0.43565713910000003
332,0.7077777778000001,0.1233333333,0.8246666667,0.1238297299,0.3165509157
333,0.9344444444000001,0.7000000000000001,0.9813333333,0.7795698925000001,0.8281865763
334,0.7311111111,0.1766666667,0.842,0.17813897680000002,0.3833943441
335,0.7305555556000001,0.1833333333,0.84,0.1857325306,0.392105886
336,0.6816666667,0.2133333333,0.7753333333,0.18218487390000002,0.40593442960000004
337,0.5922222222,0.2366666667,0.6633333333,0.1623720912,0.395915238
338,0.6888888889,0.1233333333,0.802,0.11668891860000001,0.31443718060000003
339,0.6761111111,0.28,0.7553333333000001,0.2235615406,0.45965882420000004
340,0.6622222222,0.3033333333,0.734,0.2304316934,0.4710616146
341,0.7244444444,0.1533333333,0.8386666667,0.1572984749,0.3586019185
342,0.9261111111,0.7166666667,0.968,0.7629743733000001,0.832416767
343,0.7338888889,0.1166666667,0.8573333333000001,0.125348337,0.3119974039
344,0.7716666667000001,0.1433333333,0.8973333333,0.17301155270000002,0.3585821267
345,0.6900000000000001,0.2333333333,0.7813333333,0.2005578801,0.4267794836
346,0.5888888889,0.24,0.6586666667000001,0.16324881930000001,0.39716361840000003
347,0.6794444444000001,0.1333333333,0.7886666667000001,0.12156530480000001,0.3234729123
348,0.6716666667,0.2433333333,0.7573333333000001,0.1981395601,0.429215868
349,0.6461111111,0.27333333330000004,0.7206666667,0.20479326850000001,0.4437565974
350,0.7000000000000001,0.1233333333,0.8153333333,0.1211958468,0.3164397424
351,0.8983333333,0.68,0.9420000000000001,0.6894520339,0.7997242148
352,0.7011111111,0.1666666667,0.808,0.155105148,0.3642135267
353,0.7194444444,0.2333333333,0.8166666667,0.21774012820000002,0.4365252451
354,0.6644444444000001,0.26,0.7453333333000001,0.2051184714,0.4399792033
355,0.5411111111,0.27,0.5953333333,0.1640996176,0.4005559595
356,0.6977777778,0.1733333333,0.8026666667,0.1601527403,0.3723685122
357,0.6838888889,0.3133333333,0.758,0.2483242262,0.4872907916
358,0.6388888889000001,0.33333333330000003,0.7000000000000001,0.23524123460000002,0.48276969500000005
359,0.6877777778,0.22333333330000002,0.7806666667000001,0.1934046346,0.4173823729
360,0.9366666667,0.8142857143000001,0.9739130435000001,0.8571669952000001,0.8905287757
361,0.615,0.2452380952,0.7275362319,0.2295020197,0.42234807950000003
362,0.7238888889,0.1666666667,0.8934782609,0.2189727259,0.38482469550000004
363,0.5677777778,0.4261904762,0.6108695652,0.3150664251,0.5100704501000001
364,0.6805555556,0.24047619050000002,0.8144927536000001,0.2595347381,0.4419435041
365,0.6744444444000001,0.269047619,0.797826087,0.2784132171,0.46295863400000004
366,0.6444444444,0.4833333333,0.6934782609,0.3880655183,0.5777789345000001
367,0.6038888889,0.36190476190000004,0.6775362319,0.2989322215,0.4950896543
368,0.5972222222,0.2142857143,0.7137681159,0.1989226148,0.390703795
369,0.9338888889,0.8023809524000001,0.9739130435000001,0.8499546669,0.883990224
370,0.6522222222,0.11190476190000001,0.8166666667,0.1305530908,0.3022197226
371,0.7194444444,0.2452380952,0.8637681159,0.2895853565,0.4600630956
372,0.5494444444000001,0.4261904762,0.5869565217,0.30617175680000003,0.5000436954
373,0.675,0.2380952381,0.8079710145000001,0.2544899799,0.43823778490000004
374,0.6777777778,0.2904761905,0.7956521739,0.29623752600000003,0.4801076568
375,0.6766666667,0.4142857143,0.7565217391,0.3736383442,0.5581173958
376,0.605,0.36666666670000003,0.6775362319,0.3023164977,0.4983754381
377,0.5977777778000001,0.22857142860000002,0.7101449275,0.2092251535,0.40206500430000003
378,0.9344444444000001,0.8023809524000001,0.9746376812,0.8510101010000001,0.8843206130000001
379,0.6444444444,0.1833333333,0.7847826087,0.1942282373,0.3792972927
380,0.7222222222,0.1833333333,0.8862318841,0.2347476084,0.40197371190000003
381,0.6255555556,0.45,0.6789855072000001,0.35889780330000004,0.5521717507
382,0.6661111111,0.25,0.7927536232,0.2585380411,0.44466781920000004
383,0.6766666667,0.26428571430000003,0.8021739130000001,0.2762380358,0.4601867779
384,0.6627777778,0.4261904762,0.7347826087,0.3702401302,0.5581870357000001
385,0.59,0.3857142857,0.652173913,0.3051282051,0.5015377887
386,0.6022222222,0.2380952381,0.7130434783,0.21860749640000002,0.4118885735
387,0.9244444444000001,0.7523809524,0.9768115942000001,0.8228606171,0.8572529378
388,0.6222222222,0.2,0.7507246377,0.1982570806,0.3874624579
389,0.7122222222,0.1666666667,0.8782608696,0.2124388539,0.38210586900000004
390,0.61,0.36666666670000003,0.6840579710000001,0.30418923670000003,0.4997883376
391,0.6694444444000001,0.22619047620000002,0.8043478261,0.2414433855,0.42575051550000004
392,0.6755555556,0.3142857143,0.7855072464,0.3116054876,0.49685168630000004
393,0.6761111111,0.4047619048,0.7586956522,0.36826148880000004,0.5523398580000001
394,0.5961111111,0.3642857143,0.6666666667000001,0.2962251432,0.49280523470000004
395,0.6716666667,0.1785714286,0.8217391304,0.2026316649,0.3818237701
396,0.9116666667000001,0.6738095238,0.984057971,0.7805290792,0.8141094798
397,0.6555555556,0.15238095240000002,0.8086956522000001,0.1711663548,0.3507954561
398,0.7405555556000001,0.14047619050000001,0.9231884058000001,0.2016007703,0.35996441900000004
399,0.5877777778000001,0.39523809520000003,0.6463768116,0.3080325835,0.5038888336
400,0.6094444444,0.3071428571,0.7014492754,0.2684449637,0.46396699280000003
401,0.6511111111,0.3023809524,0.7572463768000001,0.2888290571,0.4784892812
402,0.6377777778,0.48095238100000004,0.6855072464,0.3821027339,0.5727622354
403,0.6038888889,0.3976190476,0.6666666667000001,0.3190629635,0.5147472574
404,0.5855555556,0.2476190476,0.6884057971,0.2184851287,0.4128293582
405,0.9744444444,0.5388888889,0.9973684211,0.6778115502000001,0.7328182557
406,0.9533333333,0.1611111111,0.9950292398,0.24882104740000002,0.3838707102
407,0.8613888889,0.0722222222,0.9029239766,0.0498094137,0.2537686495
408,0.7797222222,0.3111111111,0.8043859649,0.1242078311,0.5002489832
409,0.9172222222,0.1611111111,0.9570175439,0.16267339220000002,0.39220041800000005
410,0.8994444444,0.061111111100000004,0.9435672515,0.0572916667,0.23828740110000002
411,0.8538888889,0.1611111111,0.8903508772000001,0.0995109982,0.37865175170000004
412,0.8058333333000001,0.1555555556,0.8400584795,0.0749393154,0.35996693100000005
413,0.7541666667,0.1388888889,0.7865497076,0.0534672926,0.33038711190000003
414,0.9744444444,0.5388888889,0.9973684211,0.6778115502000001,0.7328182557
415,0.9516666667,0.0555555556,0.9988304094,0.10320512820000001,0.2350066735
416,0.8613888889,0.0722222222,0.9029239766,0.0498094137,0.2537686495
417,0.7783333333,0.3111111111,0.8029239766,0.12349892550000001,0.49979364670000004
418,0.9158333333,0.1277777778,0.9573099415,0.1313281786,0.34904483940000003
419,0.8986111111,0.0666666667,0.9423976608,0.061776982700000004,0.2470795087
420,0.8508333333,0.1611111111,0.8871345029000001,0.09764436110000001,0.3779653452
421,0.8052777778,0.1555555556,0.8394736842,0.0747809153,0.3598498795
422,0.7458333333,0.1444444444,0.7774853801,0.0537423117,0.3346282826
423,0.9747222222,0.5222222222,0.9985380117,0.6733790999,0.7218049655000001
424,0.9516666667,0.0555555556,0.9988304094,0.10320512820000001,0.2350066735
425,0.8638888889,0.0833333333,0.9049707602,0.0577129465,0.2746161629
426,0.7641666667,0.33333333330000003,0.7868421053,0.1242258989,0.5121063880000001
427,0.9158333333,0.1277777778,0.9573099415,0.1313281786,0.34904483940000003
428,0.8919444444,0.061111111100000004,0.9356725146,0.0535279805,0.2372885525
429,0.8538888889,0.1722222222,0.8897660819000001,0.1056960618,0.3910786234
430,0.8163888889,0.1444444444,0.8517543860000001,0.0738069217,0.3479947735
431,0.7527777778,0.1388888889,0.7850877193,0.0531870875,0.33008236150000003
432,0.9744444444,0.5166666667,0.9985380117,0.6688251619000001,0.718088995
433,0.9516666667,0.0555555556,0.9988304094,0.10320512820000001,0.2350066735
434,0.8575,0.0833333333,0.898245614,0.0555035482,0.2705319056
435,0.7794444444,0.3111111111,0.8040935673,0.1240931653,0.5001585835
436,0.9430555556,0.05,0.9900584795,0.0807207207,0.2224925208
437,0.8927777778,0.061111111100000004,0.9365497076,0.053921568600000004,0.2373997432
438,0.9194444444000001,0.0888888889,0.9631578947,0.0988710636,0.2913297513
439,0.8063888889,0.1722222222,0.8397660819,0.0824160498,0.3789955753
440,0.7483333333000001,0.1388888889,0.7804093567,0.0522929769,0.3290949508
441,0.9730555556,0.5388888889,0.9959064327,0.6662457912,0.7322853352
442,0.9513888889000001,0.0666666667,0.9979532164,0.1203075531,0.254237936
443,0.9330555556000001,0.0833333333,0.9777777778000001,0.1107132568,0.28544958730000003
444,0.7780555556000001,0.3166666667,0.8023391813,0.1251978722,0.5040381404000001
445,0.905,0.1277777778,0.9459064327000001,0.1182308766,0.3469147493
446,0.9330555556000001,0.022222222200000002,0.9809941520000001,0.0319464371,0.1455109108
447,0.8472222222,0.1611111111,0.8833333333000001,0.0954612053,0.37714482180000003
448,0.8094444444000001,0.1722222222,0.8429824561,0.0840132058,0.3797807442
449,0.7358333333,0.1388888889,0.767251462,0.0499424798,0.3263088041
450,0.9400000000000001,0.61,0.97,0.6287912088000001,0.7689597218
451,0.6772222222000001,0.46,0.696969697,0.1919875466,0.5662131533
452,0.8463888889000001,0.0366666667,0.92,0.037524188800000004,0.1747995474
453,0.5750000000000001,0.5933333333,0.5733333333,0.1887724003,0.5832473325
454,0.8544444444,0.0833333333,0.9245454545,0.0877183203,0.2760038363
455,0.8725,0.13,0.9400000000000001,0.1452513966,0.34957116590000004
456,0.8338888889,0.1266666667,0.8981818182,0.11131517190000001,0.3336156992
457,0.9175000000000001,0.046666666700000005,0.9966666667,0.0860841979,0.21537560860000002
458,0.7391666667,0.13,0.7945454545,0.0761153677,0.3190451998
459,0.9561111111,0.54,0.9939393939000001,0.6717529233,0.7323563054000001
460,0.6772222222000001,0.46,0.696969697,0.1919875466,0.5662131533
461,0.8458333333,0.0366666667,0.9193939394,0.037353274900000004,0.1747287455
462,0.5752777778,0.5966666667,0.5733333333,0.18973650290000002,0.5848766548000001
463,0.8816666667,0.0433333333,0.9578787879,0.0575423105,0.20344884130000002
464,0.8683333333000001,0.13,0.9354545455000001,0.1413043478,0.3487249502
465,0.8175,0.1333333333,0.8796969697,0.10728772810000001,0.3397365533
466,0.9172222222,0.0566666667,0.9954545455,0.1022659023,0.2336134629
467,0.7391666667,0.13,0.7945454545,0.0761153677,0.3190451998
468,0.9544444444,0.5266666667000001,0.9933333333000001,0.6581196581000001,0.7231718077
469,0.675,0.4666666667,0.6939393939,0.193124444,0.5690395889000001
470,0.8788888889,0.0,0.9587878788,0.0,0.0
471,0.5755555556,0.6000000000000001,0.5733333333,0.19068484260000002,0.5865125159
472,0.8816666667,0.0433333333,0.9578787879,0.0575423105,0.20344884130000002
473,0.8736111111,0.13,0.9412121212000001,0.1463424956,0.3497964686
474,0.8325,0.14,0.8954545455,0.1213102687,0.3521806219
475,0.9141666667,0.023333333300000002,0.9951515152,0.0431752507,0.15163402650000002
476,0.74,0.1633333333,0.7924242424,0.0934465453,0.3539772809
477,0.9561111111,0.5433333333,0.9936363636000001,0.673267583,0.7345867296
478,0.6725,0.47000000000000003,0.6909090909000001,0.1931244504,0.5698327609
479,0.8352777778,0.046666666700000005,0.9069696970000001,0.0450594121,0.2054528326
480,0.5580555556,0.5966666667,0.5545454545,0.1837148321,0.5752176054
481,0.8833333333000001,0.04,0.96,0.0540540541,0.19595917940000002
482,0.8711111111000001,0.13,0.9384848485,0.14391242070000002,0.3492893127
483,0.7958333333000001,0.1233333333,0.856969697,0.0904262141,0.3221202328
484,0.9116666667000001,0.07,0.9881818182000001,0.1161673262,0.2615200119
485,0.7358333333,0.1433333333,0.7896969697,0.0824610546,0.334981925
486,0.9477777778,0.52,0.9866666667,0.6239088089,0.7160372971000001
487,0.7275,0.42,0.7554545455,0.2041627999,0.5628714826
